"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
69,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
70,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
71,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
72,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
73,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
74,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
75,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
76,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
77,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
78,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
79,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
80,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
81,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
82,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
83,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
84,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
85,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
86,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
87,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
88,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
89,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
90,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
91,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
92,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
93,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
94,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
95,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
96,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
97,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
98,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
99,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
100,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
101,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
102,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
103,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
104,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
105,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
106,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
107,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
108,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
109,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
110,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
111,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
112,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
113,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
114,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
115,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
116,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
117,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
118,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
119,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
120,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
