,step,Tanimoto_ROCS_sim,Custom_alerts,Linker_Num_Aromatic_Rings,Linker_Effective_Length,ADV,PostDock_Tanimoto_ROCS_sim,raw_Linker_Num_Aromatic_Rings,raw_Linker_Effective_Length,raw_ADV,Valid_SMILES,Number_of_SMILES_found,Average_score
0,0,0.22032640874385834,0.6705882549285889,0.9647058844566345,0.16470588743686676,0.7547329068183899,0.6998626589775085,0.4117647111415863,11.199999809265137,-8.202140808105469,100.0,68.0,0.04668809473514557
1,1,0.2216196060180664,0.7547169923782349,1.0,0.24528302252292633,0.9940639734268188,0.7281153202056885,0.2830188572406769,5.52830171585083,-14.76864242553711,100.0,95.0,0.09372833371162415
2,2,0.25438907742500305,0.7763158082962036,0.9736841917037964,0.40789473056793213,0.9412316679954529,0.8493479490280151,0.8289473652839661,7.4210524559021,-12.99158000946045,100.0,135.0,0.11509623378515244
3,3,0.25201836228370667,0.9375,0.925000011920929,0.4625000059604645,0.9111465215682983,0.8707979321479797,1.0,9.324999809265137,-10.610174179077148,100.0,173.0,0.11022207885980606
4,4,0.23457179963588715,0.8314606547355652,0.898876428604126,0.47191011905670166,0.9454368948936462,0.8135471940040588,1.0,7.595505714416504,-12.564932823181152,98.87640380859375,225.0,0.16051341593265533
5,5,0.22312882542610168,0.8395061492919922,0.790123462677002,0.43209877610206604,0.8162573575973511,0.7040196061134338,1.1111111640930176,7.148148059844971,-9.02296257019043,95.06172943115234,273.0,0.15756681561470032
6,6,0.22053581476211548,0.8295454382896423,0.8636363744735718,0.47727271914482117,0.8498985767364502,0.7903910279273987,1.0568181276321411,8.079545021057129,-10.046398162841797,98.86363983154297,323.0,0.15483683347702026
7,7,0.21711961925029755,0.9125000238418579,0.9125000238418579,0.4000000059604645,0.9096068143844604,0.7978131771087646,0.987500011920929,6.574999809265137,-11.9719877243042,97.5,356.0,0.1467415988445282
8,8,0.22086253762245178,0.8736842274665833,0.9578947424888611,0.38947367668151855,0.872203528881073,0.7826211452484131,0.7157894968986511,6.568420886993408,-10.818621635437012,97.89473724365234,425.0,0.21686658263206482
9,9,0.2332259565591812,0.8199999928474426,0.8999999761581421,0.36000001430511475,0.8265196084976196,0.7672919631004333,0.8899999856948853,7.340000152587891,-10.303680419921875,98.0,505.0,0.20186471939086914
10,10,0.23498950898647308,0.9157894849777222,0.9684210419654846,0.5789473652839661,0.8950710296630859,0.8528199195861816,0.7684210538864136,8.147368431091309,-11.256946563720703,98.9473648071289,573.0,0.36174628138542175
11,0,0.23557107150554657,0.6413043737411499,0.945652186870575,0.17391304671764374,0.8010343313217163,0.7084536552429199,0.6086956262588501,11.206521987915039,-9.352553367614746,100.0,82.0,0.06432242691516876
12,1,0.24888375401496887,0.8064516186714172,0.9247311949729919,0.4516128897666931,0.9111284613609314,0.8226994276046753,0.9677419066429138,7.483870983123779,-12.26758098602295,100.0,146.0,0.19986413419246674
13,2,0.2374635487794876,0.8333333134651184,0.9583333134651184,0.3854166567325592,0.9494653344154358,0.8660830855369568,0.9791666865348816,7.0,-13.3468017578125,100.0,209.0,0.23533576726913452
14,3,0.24903622269630432,0.9578947424888611,0.9578947424888611,0.410526305437088,0.8986290097236633,0.8456147909164429,0.8842105269432068,8.568421363830566,-11.771443367004395,100.0,275.0,0.26945173740386963
15,4,0.2346639782190323,0.8585858345031738,0.7979797720909119,0.4040403962135315,0.8194555640220642,0.7430232763290405,1.1414141654968262,9.303030014038086,-7.950605869293213,98.98989868164062,355.0,0.23033669590950012
16,5,0.22922535240650177,0.9300000071525574,0.7599999904632568,0.3499999940395355,0.6407105922698975,0.7017806768417358,1.1299999952316284,10.640000343322754,-5.543540000915527,97.0,444.0,0.2537049353122711
17,6,0.24357111752033234,0.8282828330993652,0.8282828330993652,0.5353535413742065,0.8727747797966003,0.804805338382721,1.070707082748413,8.23232364654541,-10.59700870513916,97.97979736328125,537.0,0.3740324079990387
18,7,0.23576761782169342,0.7708333134651184,0.96875,0.46875,0.9424831867218018,0.8100512623786926,0.6875,6.916666507720947,-13.064427375793457,98.95833587646484,612.0,0.295234352350235
19,8,0.24623925983905792,0.7777777910232544,1.0,0.5050504803657532,0.972809374332428,0.7972438335418701,0.7777777910232544,6.202020168304443,-14.085606575012207,100.0,690.0,0.33786076307296753
20,9,0.26182273030281067,0.957446813583374,0.9893617033958435,0.585106372833252,0.9705233573913574,0.9419941902160645,0.8191489577293396,6.978723526000977,-13.37360668182373,100.0,755.0,0.3256191611289978
21,10,0.24651332199573517,0.9680851101875305,0.978723406791687,0.6808510422706604,0.9712598323822021,0.9144400954246521,0.957446813583374,7.3510637283325195,-12.833636283874512,100.0,824.0,0.4140394926071167
22,11,0.2650719881057739,0.949367105960846,1.0,0.7721518874168396,0.9772726893424988,0.9049095511436462,0.8987341523170471,7.607594966888428,-13.666050910949707,100.0,860.0,0.23589080572128296
23,12,0.24668650329113007,0.936170220375061,0.957446813583374,0.8085106611251831,0.9279962778091431,0.9002766609191895,0.978723406791687,7.638298034667969,-12.354116439819336,97.8723373413086,918.0,0.4313376545906067
24,13,0.25067707896232605,0.9693877696990967,0.9795918464660645,0.8571428656578064,0.9534645080566406,0.9076353311538696,1.0102040767669678,8.020408630371094,-12.543224334716797,100.0,979.0,0.47952666878700256
25,14,0.23858821392059326,0.9696969985961914,0.9696969985961914,0.8181818127632141,0.9296308755874634,0.8901262283325195,0.9898989796638489,8.464646339416504,-12.159896850585938,100.0,1051.0,0.5068581104278564
26,15,0.24328561127185822,0.9897959232330322,0.9081632494926453,0.6836734414100647,0.904975950717926,0.8849337697029114,1.0714285373687744,9.040816307067871,-10.839173316955566,98.9795913696289,1124.0,0.4342607855796814
27,16,0.22554786503314972,0.9399999976158142,0.949999988079071,0.6600000262260437,0.8974606394767761,0.8728657364845276,0.9399999976158142,8.40999984741211,-11.219310760498047,95.0,1199.0,0.45745936036109924
28,17,0.22557835280895233,0.9587628841400146,0.9793814420700073,0.7525773048400879,0.9173274636268616,0.8584762811660767,0.938144326210022,8.237112998962402,-11.220104217529297,97.93814086914062,1264.0,0.39949601888656616
29,18,0.24047011137008667,0.9599999785423279,0.9800000190734863,0.800000011920929,0.9032898545265198,0.8669406175613403,0.9599999785423279,8.180000305175781,-10.806838035583496,99.0,1329.0,0.39342427253723145
30,19,0.2454652637243271,0.9795918464660645,0.9897959232330322,0.6530612111091614,0.9440709352493286,0.8721342086791992,0.9897959232330322,7.846938610076904,-12.44608211517334,98.9795913696289,1407.0,0.3589616119861603
31,20,0.23575042188167572,0.9800000190734863,0.9599999785423279,0.800000011920929,0.9280425310134888,0.8730171322822571,1.0,8.489999771118164,-11.900469779968262,98.0,1481.0,0.42744195461273193
32,21,0.2567901611328125,0.9898989796638489,0.9898989796638489,0.8383838534355164,0.9567704796791077,0.8922857642173767,1.0,8.0,-12.59072494506836,100.0,1560.0,0.4845423400402069
33,22,0.24877381324768066,0.9696969985961914,0.9696969985961914,0.8282828330993652,0.9345324039459229,0.869047224521637,0.9696969985961914,7.60606050491333,-12.171968460083008,97.97979736328125,1641.0,0.4982202649116516
34,23,0.24473407864570618,0.9670329689979553,0.9890109896659851,0.8461538553237915,0.9638628959655762,0.9239680767059326,0.9780219793319702,7.681318759918213,-13.321516990661621,98.9011001586914,1705.0,0.4975320100784302
35,24,0.2494107037782669,0.9479166865348816,1.0,0.78125,0.9240590929985046,0.8585152626037598,0.9791666865348816,7.729166507720947,-12.398750305175781,100.0,1780.0,0.4442354738712311
36,25,0.25166836380958557,0.9900000095367432,1.0,0.8500000238418579,0.9416908025741577,0.8740186095237732,0.9800000190734863,7.840000152587891,-12.043869972229004,100.0,1871.0,0.6115742325782776
37,26,0.238556370139122,0.949999988079071,0.9599999785423279,0.75,0.8976633548736572,0.8735577464103699,0.9700000286102295,6.980000019073486,-11.870780944824219,97.0,1961.0,0.6303209066390991
38,27,0.24438290297985077,0.9270833134651184,0.9479166865348816,0.78125,0.8907720446586609,0.8335518836975098,0.9270833134651184,7.260416507720947,-11.887707710266113,94.79166412353516,2045.0,0.6561464667320251
39,28,0.2471504956483841,0.9700000286102295,0.9599999785423279,0.75,0.926430881023407,0.8478262424468994,1.0,7.25,-12.263659477233887,98.0,2140.0,0.6506474018096924
