,step,Tanimoto_ROCS_sim,Custom_alerts,Linker_Num_Aromatic_Rings,Linker_Effective_Length,ADV,PostDock_Tanimoto_ROCS_sim,raw_Linker_Num_Aromatic_Rings,raw_Linker_Effective_Length,raw_ADV,Valid_SMILES,Number_of_SMILES_found,Average_score
0,0,0.2203264087438583,0.6705882549285889,0.9647058844566344,0.1647058874368667,0.7547329068183899,0.6998626589775085,0.4117647111415863,11.199999809265137,-8.202140808105469,100.0,68.0,0.0466880947351455
1,1,0.22064970806241033,0.6916204392910004,0.9735294133424758,0.1848501712083816,0.8145656734704971,0.7069258242845535,0.37957824766635895,9.78207528591156,-9.843766212463379,100.0,74.75,0.058448154479265144
2,2,0.22908455040305847,0.7127942815423012,0.9735681079328059,0.24061131104826922,0.8462321721017361,0.7425313554704189,0.4919205270707607,9.191819578409195,-10.630719661712646,100.0,89.8125,0.07261017430573695
3,3,0.2348180033732205,0.7689707111567259,0.9614260839298366,0.296083484776318,0.8624607594683766,0.7745979996398091,0.6189403953030705,9.22511463612318,-10.625583291053772,100.0,110.609375,0.08201315044425421
4,4,0.23475645243888715,0.7845931970514357,0.945788670098409,0.3400401433464139,0.883204793324694,0.7843352982308716,0.7142052964773029,8.817712405696511,-11.110420674085617,99.71910095214844,139.20703125,0.10163821681635449
5,5,0.23184954568569074,0.7983214351115748,0.9068723682430572,0.36305480153532693,0.8664679343928583,0.7642563752015121,0.8134317633812316,8.400321319233626,-10.58855614811182,98.55475807189941,172.6552734375,0.11562036651594093
6,6,0.2290211129547969,0.8061274359060917,0.8960633698006858,0.3916092809377005,0.8623255949787563,0.7707900383829838,0.874278354443959,8.320127244689502,-10.453016651794314,98.6319785118103,210.241455078125,0.12542448325621075
7,7,0.22604573952867207,0.8327205828900333,0.9001725333109788,0.39370696219339146,0.8741458998301823,0.777545823064429,0.9025837688132015,7.8838453858334105,-10.832759419921786,98.34898388385773,246.68109130859375,0.1307537621532901
8,8,0.22474993905211696,0.8429614940341708,0.9146030856054493,0.3926486408154232,0.873660307092905,0.778814653610425,0.8558852008345639,7.55498926112341,-10.829224973800592,98.23542222380638,291.2608184814453,0.15228196727298376
9,9,0.22686894342888303,0.8372211187374887,0.9109523082436225,0.3844864841878461,0.8618751324440836,0.7759339809829271,0.8644138970496442,7.50124198398953,-10.697838835330913,98.17656666785479,344.695613861084,0.1646776553024551
