,step,Tanimoto_ROCS_sim,Custom_alerts,Linker_Num_Aromatic_Rings,Linker_Effective_Length,ADV,PostDock_Tanimoto_ROCS_sim,raw_Linker_Num_Aromatic_Rings,raw_Linker_Effective_Length,raw_ADV,Valid_SMILES,Number_of_SMILES_found,Average_score
0,0,0.2274167388677597,0.8064516186714172,0.8924731016159058,0.23655913770198822,0.596329391002655,0.6485426425933838,0.698924720287323,14.602150917053223,-4.086989402770996,100.0,84.0,0.412845253944397
1,1,0.22082747519016266,0.8070175647735596,0.9824561476707458,0.24561403691768646,0.984939455986023,0.731108546257019,0.21052631735801697,5.245614051818848,-14.601544380187988,100.0,118.0,0.329479455947876
2,2,0.23902511596679688,0.9012345671653748,1.0,0.4197530746459961,0.959679126739502,0.7601010203361511,0.6172839403152466,6.666666507720947,-13.591863632202148,100.0,165.0,0.4010961055755615
3,3,0.22032180428504944,0.9090909361839294,0.9797979593276978,0.3232323229312897,0.7731675505638123,0.7594026327133179,0.6767676472663879,9.929292678833008,-7.85427188873291,98.98989868164062,244.0,0.4942389726638794
4,4,0.2315838634967804,0.9200000166893005,0.9399999976158142,0.4000000059604645,0.7680838108062744,0.7924542427062988,0.8500000238418579,9.949999809265137,-5.192380428314209,98.0,331.0,0.5781892538070679
5,5,0.22973327338695526,0.8899999856948853,0.8799999952316284,0.23999999463558197,0.5510991811752319,0.6386362314224243,0.9700000286102295,12.399999618530273,-0.5030499696731567,96.0,421.0,0.47507885098457336
6,6,0.2469794601202011,0.9700000286102295,0.9900000095367432,0.4699999988079071,0.7940978407859802,0.7900076508522034,0.8999999761581421,10.880000114440918,-7.134950160980225,100.0,509.0,0.6311901211738586
7,7,0.25012773275375366,0.9595959782600403,0.9797979593276978,0.5151515007019043,0.8398917317390442,0.8211771845817566,0.9090909361839294,9.373737335205078,-9.074111938476562,98.98989868164062,590.0,0.6053209900856018
8,8,0.25060921907424927,0.9399999976158142,0.9700000286102295,0.6499999761581421,0.9083765149116516,0.8615907430648804,0.8700000047683716,7.440000057220459,-10.821538925170898,97.0,671.0,0.6777284741401672
9,9,0.24734318256378174,0.9479166865348816,1.0,0.59375,0.8925692439079285,0.8191720843315125,0.8645833134651184,8.0,-10.78153133392334,100.0,740.0,0.5214440226554871
10,10,0.25511786341667175,0.9784946441650391,0.9677419066429138,0.774193525314331,0.9183028936386108,0.8911262154579163,0.9677419066429138,7.6021504402160645,-12.138172149658203,97.8494644165039,798.0,0.4662003517150879
11,11,0.2473142296075821,0.9896907210350037,0.9793814420700073,0.6185566782951355,0.9385019540786743,0.9002566933631897,0.9587628841400146,7.422680377960205,-12.580794334411621,98.96907043457031,871.0,0.5476481914520264
12,12,0.23630574345588684,0.9387755393981934,0.9693877696990967,0.4897959232330322,0.9022184014320374,0.8121024966239929,0.8163265585899353,6.86734676361084,-12.028634071350098,96.93877410888672,951.0,0.49273568391799927
13,13,0.22891031205654144,0.9387755393981934,0.9693877696990967,0.6326530575752258,0.933271586894989,0.8409096598625183,0.8265306353569031,6.959183692932129,-12.585121154785156,96.93877410888672,1029.0,0.6105738282203674
14,14,0.2295651137828827,0.9693877696990967,0.9693877696990967,0.6224489808082581,0.9138656854629517,0.8561829328536987,0.8571428656578064,7.102040767669678,-11.708102226257324,96.93877410888672,1113.0,0.6392214298248291
15,15,0.23631355166435242,0.9300000071525574,0.9599999785423279,0.6000000238418579,0.8393487334251404,0.7921907305717468,0.7900000214576721,7.449999809265137,-10.051279067993164,96.0,1203.0,0.6100394129753113
16,16,0.240803524851799,0.9387755393981934,0.9591836929321289,0.5918367505073547,0.8268608450889587,0.7940241694450378,0.8469387888908386,8.285714149475098,-9.259243965148926,95.91836547851562,1290.0,0.6678115725517273
17,17,0.24037553369998932,0.9684210419654846,0.9789473414421082,0.3052631616592407,0.8855801224708557,0.7506729960441589,0.8315789699554443,6.684210300445557,-11.478715896606445,97.89473724365234,1375.0,0.6562981605529785
18,18,0.22434820234775543,0.9489796161651611,0.9489796161651611,0.3163265287876129,0.8770096302032471,0.774228572845459,0.8061224222183228,6.0,-11.478744506835938,95.91836547851562,1458.0,0.6444796919822693
19,19,0.23360675573349,0.9595959782600403,0.9696969985961914,0.24242424964904785,0.8938322067260742,0.7751334309577942,0.7777777910232544,6.404040336608887,-12.334909439086914,96.96969604492188,1545.0,0.6365314722061157
20,20,0.2278614193201065,0.9399999976158142,0.949999988079071,0.4000000059604645,0.8200503587722778,0.7143353223800659,0.7900000214576721,7.46999979019165,-9.706500053405762,95.0,1632.0,0.6234623193740845
