"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
0,0.19361600279808044,0.14492753148078918,1,0,0.36573922634124756,0.09630174189805984,0.07246376574039459,17.33333396911621,1.9560869932174683,100,69,0,"7_8","7~8"
1,0.2540075480937958,0.2800000011920929,0.9599999785423279,0,0.6537294983863831,0,0.4399999976158142,14.319999694824219,-6.256519794464111,96,92,0,"7_8","7~8"
2,0.18440228700637817,0.42105263471603394,0.9649122953414917,0,0.42784005403518677,0.12430866062641144,0.21052631735801697,16.228069305419922,1.1659297943115234,100,145,0,"7_8","7~8"
3,0.1725418120622635,0.0833333358168602,0.800000011920929,0,0.3538435697555542,0.2410702109336853,0.05000000074505806,13.533333778381348,1.3102831840515137,80,192,0,"7_8","7~8"
4,0.20335079729557037,0.18333333730697632,0.9666666388511658,0,0.5067588090896606,0.16172172129154205,0.25,16.25,-1.7378166913986206,96.66666412353516,245,0,"7_8","7~8"
5,0.20653976500034332,0.44680851697921753,0.978723406791687,0,0.4444100856781006,0.3576532304286957,0.06382978707551956,15.361701965332031,-1.5001490116119385,97.8723373413086,288,0,"7_8","7~8"
6,0.24119460582733154,0.6000000238418579,1,0.019999999552965164,0.6370666027069092,0.33039191365242004,0.1599999964237213,16.100000381469727,-5.170820236206055,100,332,0,"7_8","7~8"
7,0.20435762405395508,0.1071428582072258,0.9464285969734192,0.0357142873108387,0.5722255706787109,0.1950748711824417,0.1607142835855484,13.589285850524902,-4.016767978668213,94.64286041259766,373,0,"7_8","7~8"
8,0.2007453888654709,0.375,0.9464285969734192,0,0.4113462269306183,0.2771160304546356,0.0535714291036129,15.160714149475098,4.134410381317139,94.64286041259766,409,0,"7_8","7~8"
9,0.167735755443573,0.5384615659713745,0.9846153855323792,0.015384615398943424,0.31805428862571716,0.028991786763072014,0.29230770468711853,17.369230270385742,1.4229844808578491,98.46154022216797,459,0,"7_8","7~8"
10,0.22491377592086792,0.32307693362236023,0.9846153855323792,0,0.576962947845459,0.23043203353881836,0.1230769231915474,14.29230785369873,-0.9030612707138062,98.46154022216797,511,0,"7_8","7~8"
11,0.22854173183441162,0.0625,1,0,0.5051797032356262,0.17585815489292145,0.3125,16.60416603088379,0.3613957464694977,100,556,0,"7_8","7~8"
12,0.23511271178722382,0.03921568766236305,1,0,0.5926603078842163,0.10812979191541672,0.3921568691730499,14.72549057006836,-2.755608081817627,100,587,0,"7_8","7~8"
13,0.21406304836273193,0.4047619104385376,0.8809523582458496,0,0.5185104608535767,0.07243715226650238,0.2142857164144516,14.476190567016602,-4.583047389984131,90.47618865966797,615,0,"7_8","7~8"
14,0.2258395403623581,0.03896103799343109,0.9740259647369385,0.03896103799343109,0.5998014807701111,0.15698346495628357,0.07792207598686218,12.805194854736328,-3.6441948413848877,97.40259552001953,683,0,"7_8","7~8"
15,0.22792041301727295,0.4047619104385376,0.976190447807312,0.0476190485060215,0.7259482145309448,0.17489612102508545,0.0476190485060215,13.023809432983398,-7.0470709800720215,97.61904907226562,716,0,"7_8","7~8"
16,0.21332718431949615,0.16883116960525513,0.948051929473877,0,0.5748981237411499,0.17580585181713104,0.10389610379934311,14.337662696838379,-3.5154545307159424,94.80519104003906,764,0,"7_8","7~8"
17,0.20643578469753265,0.05882352963089943,1,0,0.5406736135482788,0.26185595989227295,0.03921568766236305,15.43137264251709,-2.7458434104919434,100,799,0,"7_8","7~8"
