"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","docking_weight"
0,0.2434152215719223,0.2857142984867096,0.9642857313156128,0.6785714030265808,0.7422357797622681,0.5825228691101074,0.0714285746216774,12.857142448425293,-8.11689281463623,96.42857360839844,27,0.21599411964416504,"1"
1,0.19289559125900269,0.26530611515045166,1,0.18367347121238708,0.3492925465106964,0,0.10204081982374191,18.285715103149414,4.361673355102539,100,76,0.0990462601184845,"1"
2,0.21594826877117157,0.7592592835426331,0.9444444179534912,0.1111111119389534,0.3780970275402069,0,0.8148148059844971,18.074073791503906,4.870351791381836,98.14814758300781,128,0.26601430773735046,"1"
3,0.2144709825515747,1,1,0.2380952388048172,0.30005693435668945,0,0.5952380895614624,17.285715103149414,1.4319286346435547,100,167,0.3474573493003845,"1"
4,0.2315102070569992,0.675000011920929,0.9750000238418579,0.574999988079071,0.5759865641593933,0.017254699021577835,0.625,14.399999618530273,-3.691275119781494,97.5,198,0.2388017177581787,"1"
5,0.21250313520431519,0.7599999904632568,0.9800000190734863,0.5799999833106995,0.4745272099971771,0.0388653427362442,0.41999998688697815,14.4399995803833,-2.802880048751831,98,243,0.3565120995044708,"1"
6,0.23714898526668549,0.9322034120559692,0.9152542352676392,0.7966101765632629,0.543917715549469,0.017014164477586746,0.8983050584793091,13.423728942871094,-2.0129997730255127,98.30508422851562,293,0.46427762508392334,"1"
7,0.23932409286499023,0.976190447807312,1,0.7857142686843872,0.5820886492729187,0.0020243555773049593,0.8095238208770752,13.690476417541504,-1.1909286975860596,100,326,0.45774146914482117,"1"
8,0.2560098171234131,1,1,0.8709677457809448,0.7037068009376526,0,0.25806450843811035,13.032258033752441,-3.6790640354156494,100,354,0.5774855613708496,"1"
9,0.2334987372159958,1,1,0.9428571462631226,0.7213417291641235,0.13019870221614838,0.4000000059604645,13.285714149475098,-6.8954291343688965,100,380,0.5063547492027283,"1"
