"Column0","step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","Link Length","low_upper"
0,0,0.2183278352022171,0.5810810923576355,0.9864864945411682,1,0.8044729232788086,0.3053787350654602,0.22972972691059113,10.810811042785645,-7.512864589691162,100,52,0.318596750497818,"No constraint","No constraint"
1,1,0.23175862431526184,0.7894737124443054,0.8631578683853149,1,0.6375820636749268,0.1807386726140976,0.8105263113975525,13.084210395812988,-3.059199810028076,100,131,0.42127755284309387,"No constraint","No constraint"
2,2,0.23277544975280762,0.8265306353569031,0.8367347121238708,1,0.8393216133117676,0.19727084040641785,1.0816326141357422,9.23469352722168,-10.144458770751953,100,216,0.4921264946460724,"No constraint","No constraint"
3,3,0.2365798056125641,0.9696969985961914,0.5353535413742065,1,0.621982216835022,0.13613004982471466,1.5151515007019043,12.565656661987305,-1.9300099611282349,100,304,0.47014737129211426,"No constraint","No constraint"
4,4,0.24349547922611237,0.9399999976158142,0.46000000834465027,0.9900000095367432,0.5562183260917664,0.09421117603778839,1.590000033378601,15.489999771118164,1.6946099996566772,99,400,0.4755275249481201,"No constraint","No constraint"
5,5,0.24303123354911804,0.9800000190734863,0.7200000286102295,1,0.6256722211837769,0.16065925359725952,1.2899999618530273,12.640000343322754,-1.5257104635238647,100,498,0.5958539843559265,"No constraint","No constraint"
6,6,0.23575691878795624,0.9898989796638489,0.8181818127632141,1,0.6936174035072327,0.191957026720047,1.1616162061691284,12.494949340820312,-5.115969657897949,100,583,0.5583706498146057,"No constraint","No constraint"
7,7,0.23087604343891144,0.9900000095367432,0.8999999761581421,1,0.6745367646217346,0.15698939561843872,1.0199999809265137,12.619999885559082,-5.48583984375,100,671,0.5864053964614868,"No constraint","No constraint"
8,8,0.2375110238790512,0.9898989796638489,0.9595959782600403,0.9898989796638489,0.5677804350852966,0.17869384586811066,0.7777777910232544,13.86868667602539,-1.2240909337997437,98.98989868164062,750,0.5172481536865234,"No constraint","No constraint"
9,9,0.23738184571266174,0.9797979593276978,0.939393937587738,0.9797979593276978,0.37512484192848206,0.13473689556121826,0.7373737096786499,16.616161346435547,5.631313323974609,97.97979736328125,831,0.4932616651058197,"No constraint","No constraint"
10,10,0.24150444567203522,0.978723406791687,0.9680851101875305,1,0.5117048025131226,0.1747063547372818,0.7127659320831299,14.882978439331055,-0.5915637016296387,100,900,0.4598287343978882,"No constraint","No constraint"
11,11,0.2415289580821991,0.9897959232330322,1,1,0.41965624690055847,0.16085268557071686,0.47959184646606445,16.040817260742188,4.750286102294922,100,958,0.3586939871311188,"No constraint","No constraint"
12,12,0.21673041582107544,1,0.9897959232330322,1,0.3035060465335846,0.1325749307870865,0.5102040767669678,20.602041244506836,7.503429412841797,100,1033,0.46167224645614624,"No constraint","No constraint"
13,13,0.22641412913799286,0.9700000286102295,1,1,0.26110535860061646,0.09892521053552628,0.49000000953674316,21.049999237060547,8.19221019744873,100,1101,0.38017043471336365,"No constraint","No constraint"
14,14,0.22982554137706757,0.969072163105011,0.969072163105011,0.9793814420700073,0.3436487317085266,0.13777990639209747,0.4329896867275238,19.340206146240234,11.034050941467285,97.93814086914062,1169,0.42543426156044006,"No constraint","No constraint"
15,15,0.21836131811141968,0.9797979593276978,0.9595959782600403,0.9898989796638489,0.17353318631649017,0.10202483087778091,0.5858585834503174,22.989898681640625,18.672182083129883,98.98989868164062,1255,0.48390719294548035,"No constraint","No constraint"
16,16,0.20801852643489838,0.9399999976158142,0.9800000190734863,0.9800000190734863,0.21723678708076477,0.12058009952306747,0.47999998927116394,24.360000610351562,15.568320274353027,98,1334,0.43687188625335693,"No constraint","No constraint"
17,17,0.22236613929271698,0.949999988079071,0.9800000190734863,0.9900000095367432,0.19848421216011047,0.15078938007354736,0.6700000166893005,23.8700008392334,17.081771850585938,99,1425,0.5139378905296326,"No constraint","No constraint"
18,18,0.21638289093971252,0.939393937587738,0.9595959782600403,0.9595959782600403,0.19589515030384064,0.09267321228981018,0.46464645862579346,20.696969985961914,11.405474662780762,95.9595947265625,1512,0.4892744719982147,"No constraint","No constraint"
19,19,0.22569948434829712,0.9700000286102295,0.9700000286102295,0.9800000190734863,0.3149884045124054,0.11618007719516754,0.800000011920929,19.469999313354492,11.421578407287598,98,1606,0.5673896074295044,"No constraint","No constraint"
20,20,0.22228464484214783,0.9700000286102295,0.9700000286102295,0.9800000190734863,0.32273948192596436,0.05490409955382347,0.5600000023841858,19.059999465942383,7.791190147399902,98,1700,0.5562655329704285,"No constraint","No constraint"
21,21,0.23173831403255463,1,1,1,0.3681222200393677,0.06652691960334778,0.5199999809265137,19.350000381469727,7.077409744262695,100,1799,0.6014143824577332,"No constraint","No constraint"
22,22,0.22834375500679016,0.9489796161651611,0.9693877696990967,0.9795918464660645,0.42159172892570496,0.08256813138723373,0.6020408272743225,14.428571701049805,4.391060829162598,97.95918273925781,1888,0.5427990555763245,"No constraint","No constraint"
23,23,0.22377456724643707,0.9700000286102295,0.9700000286102295,0.9900000095367432,0.45898160338401794,0.09468235075473785,0.6000000238418579,15.649999618530273,0.4624299108982086,99,1981,0.5765851140022278,"No constraint","No constraint"
24,24,0.229364812374115,0.9700000286102295,0.9399999976158142,0.9800000190734863,0.46278199553489685,0.07499824464321136,0.7900000214576721,15.069999694824219,-0.9788799285888672,98,2075,0.5812416076660156,"No constraint","No constraint"
25,25,0.2246432900428772,0.9700000286102295,0.9599999785423279,0.9800000190734863,0.4996369183063507,0.08635637164115906,0.7699999809265137,14.609999656677246,-1.7750400304794312,98,2167,0.5899736285209656,"No constraint","No constraint"
26,26,0.22852542996406555,0.949999988079071,0.9900000095367432,1,0.4427449107170105,0.09422595798969269,0.699999988079071,15.430000305175781,3.4969398975372314,100,2263,0.5763790607452393,"No constraint","No constraint"
27,27,0.23274192214012146,0.9700000286102295,0.9900000095367432,0.9900000095367432,0.49141135811805725,0.06836361438035965,0.7099999785423279,15.119999885559082,-0.32837021350860596,99,2354,0.5702154636383057,"No constraint","No constraint"
28,28,0.22452758252620697,0.9399999976158142,1,1,0.47753337025642395,0.11565472930669785,0.6399999856948853,17.100000381469727,1.660849928855896,100,2453,0.605185866355896,"No constraint","No constraint"
29,29,0.232499897480011,0.9100000262260437,0.949999988079071,0.9900000095367432,0.4067862033843994,0.09063833206892014,0.8899999856948853,16.040000915527344,5.846229076385498,99,2551,0.5600704550743103,"No constraint","No constraint"
