"Column0","step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","Link Length","low_upper"
0,0,0.220540851354599,0.6086956262588501,0.9239130616188049,1,0.7161216139793396,0.6937573552131653,0.5869565010070801,12.05434799194336,-6.649608612060547,100,78,0.3739989697933197,"No constraint","No constraint"
1,1,0.21858589351177216,0.887499988079071,1,1,0.8360622525215149,0.7668417692184448,0.03750000149011612,9.712499618530273,-10.58433723449707,100,132,0.5060147643089294,"No constraint","No constraint"
2,2,0.2135552614927292,0.8600000143051147,0.9900000095367432,0.9900000095367432,0.525448739528656,0.6154420375823975,0.14000000059604645,15.680000305175781,-0.33427003026008606,99,220,0.5740805268287659,"No constraint","No constraint"
3,3,0.23148126900196075,0.939393937587738,0.9898989796638489,1,0.42212098836898804,0.5734519362449646,0.020202020183205605,18.050504684448242,3.111928701400757,100,314,0.6561192274093628,"No constraint","No constraint"
4,4,0.23276644945144653,0.9300000071525574,0.9700000286102295,0.9900000095367432,0.3496711254119873,0.5123583078384399,0.10999999940395355,19.59000015258789,6.0860795974731445,99,408,0.6339038610458374,"No constraint","No constraint"
5,5,0.2025887370109558,0.3229166567325592,1,1,0.1894221156835556,0.4368763864040375,0.02083333395421505,28.36458396911621,11.757250785827637,100,490,0.17991705238819122,"No constraint","No constraint"
6,6,0.22519439458847046,0.8631578683853149,1,1,0.21673138439655304,0.4915066063404083,0.021052632480859756,27.894737243652344,10.494011878967285,100,568,0.46552911400794983,"No constraint","No constraint"
7,7,0.2265375405550003,0.9479166865348816,0.9895833134651184,0.9895833134651184,0.326567143201828,0.5909155011177063,0,23.42708396911621,5.20032262802124,98.95833587646484,634,0.46681714057922363,"No constraint","No constraint"
8,8,0.23968958854675293,0.9583333134651184,1,1,0.29966041445732117,0.5559601187705994,0,24.55208396911621,7.65611457824707,100,706,0.4847002923488617,"No constraint","No constraint"
9,9,0.22241856157779694,0.9900000095367432,1,1,0.24539925158023834,0.449925035238266,0.009999999776482582,23.34000015258789,9.654919624328613,100,795,0.5779939889907837,"No constraint","No constraint"
10,10,0.22557313740253448,0.9800000190734863,1,1,0.2802487313747406,0.5481753349304199,0,25.739999771118164,10.496299743652344,100,889,0.6392499208450317,"No constraint","No constraint"
11,11,0.20128197968006134,0.9595959782600403,0.9797979593276978,0.9797979593276978,0.1560417264699936,0.40835508704185486,0,31.050504684448242,23.491161346435547,97.97979736328125,983,0.5888632535934448,"No constraint","No constraint"
12,12,0.21675710380077362,0.9898989796638489,1,1,0.4066055715084076,0.5135078430175781,0,18.474746704101562,4.476273059844971,100,1069,0.6292825937271118,"No constraint","No constraint"
13,13,0.21064506471157074,0.9900000095367432,1,1,0.41140830516815186,0.5121697783470154,0,17.780000686645508,3.266709804534912,100,1142,0.5239164233207703,"No constraint","No constraint"
14,14,0.2221650630235672,1,1,1,0.3267454504966736,0.5484637022018433,0,21.549999237060547,9.001219749450684,100,1232,0.6507078409194946,"No constraint","No constraint"
15,15,0.21448490023612976,1,1,1,0.3920557498931885,0.49822670221328735,0.009999999776482582,19.209999084472656,6.504680156707764,100,1321,0.6413378715515137,"No constraint","No constraint"
16,16,0.2212294340133667,0.9800000190734863,1,1,0.3987727761268616,0.5328282713890076,0,17.31999969482422,3.42726993560791,100,1410,0.6280455589294434,"No constraint","No constraint"
17,17,0.2097349315881729,0.9599999785423279,1,1,0.5031548142433167,0.5791002511978149,0.009999999776482582,15.920000076293945,0.8892199993133545,100,1500,0.650016188621521,"No constraint","No constraint"
18,18,0.21679458022117615,0.9700000286102295,0.9900000095367432,0.9900000095367432,0.42783111333847046,0.5851242542266846,0.009999999776482582,18.010000228881836,3.3519198894500732,99,1592,0.6715437173843384,"No constraint","No constraint"
19,19,0.2168029397726059,0.9100000262260437,0.9900000095367432,0.9900000095367432,0.3936132490634918,0.5643966197967529,0.009999999776482582,17.790000915527344,2.9376602172851562,99,1684,0.6284359097480774,"No constraint","No constraint"
20,20,0.21972888708114624,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.48683810234069824,0.5926713347434998,0.019999999552965164,15.1899995803833,0.7614799737930298,99,1769,0.6484549641609192,"No constraint","No constraint"
21,21,0.22361162304878235,0.9595959782600403,0.9898989796638489,0.9898989796638489,0.6070963144302368,0.728886067867279,0.010101010091602802,13.818181991577148,-3.9846062660217285,98.98989868164062,1856,0.7118903994560242,"No constraint","No constraint"
22,22,0.2258133441209793,0.9587628841400146,0.9793814420700073,0.9896907210350037,0.6233791708946228,0.7121144533157349,0.020618556067347527,13.329896926879883,-3.1654438972473145,98.96907043457031,1934,0.6388840675354004,"No constraint","No constraint"
23,23,0.2304450422525406,0.9545454382896423,1,1,0.7757373452186584,0.8378315567970276,0.011363636702299118,10.681818008422852,-8.570385932922363,100,1982,0.44218817353248596,"No constraint","No constraint"
24,24,0.2223532348871231,0.967391312122345,0.97826087474823,0.989130437374115,0.6454412341117859,0.6547810435295105,0.032608695328235626,12.82608699798584,-5.25782585144043,98.91304016113281,2042,0.5035087466239929,"No constraint","No constraint"
25,25,0.21980588138103485,0.938144326210022,0.9896907210350037,0.9896907210350037,0.5713335871696472,0.6584248542785645,0,14.051546096801758,-4.37858772277832,98.96907043457031,2116,0.5948340892791748,"No constraint","No constraint"
26,26,0.22422592341899872,0.9898989796638489,0.9898989796638489,1,0.6526439189910889,0.6631996631622314,0.07070706784725189,13.181818008422852,-4.669616222381592,100,2187,0.578593373298645,"No constraint","No constraint"
27,27,0.21462231874465942,0.938144326210022,0.9896907210350037,0.9896907210350037,0.46976807713508606,0.5621604919433594,0,14.546391487121582,0.17309316992759705,98.96907043457031,2267,0.5750394463539124,"No constraint","No constraint"
28,28,0.22882646322250366,0.9595959782600403,0.9898989796638489,0.9898989796638489,0.5947573781013489,0.6867564916610718,0.010101010091602802,15.757575988769531,-2.241262674331665,98.98989868164062,2352,0.6735801100730896,"No constraint","No constraint"
29,29,0.2105972170829773,0.9090909361839294,0.9696969985961914,0.9797979593276978,0.4250893294811249,0.5375000834465027,0.03030303120613098,17.252525329589844,2.1968889236450195,97.97979736328125,2442,0.6211993098258972,"No constraint","No constraint"
30,30,0.22126434743404388,0.9399999976158142,0.9900000095367432,0.9900000095367432,0.5661494731903076,0.6615591645240784,0.009999999776482582,15.170000076293945,-2.576289653778076,99,2532,0.6925291419029236,"No constraint","No constraint"
31,31,0.2203802615404129,0.9300000071525574,1,1,0.49219128489494324,0.6315770149230957,0.009999999776482582,17.110000610351562,0.0572400763630867,100,2624,0.656277596950531,"No constraint","No constraint"
32,32,0.2200000137090683,0.8999999761581421,0.9399999976158142,0.949999988079071,0.5177629590034485,0.58668452501297,0.029999999329447746,13.510000228881836,-2.3982203006744385,95,2717,0.689523458480835,"No constraint","No constraint"
33,33,0.21461650729179382,0.949999988079071,0.9599999785423279,0.9800000190734863,0.34480154514312744,0.4972573518753052,0.12999999523162842,17.8700008392334,4.296949863433838,98,2814,0.6722234487533569,"No constraint","No constraint"
34,34,0.21802440285682678,0.9100000262260437,0.9599999785423279,0.9599999785423279,0.47865745425224304,0.6308187246322632,0.029999999329447746,15.989999771118164,1.2346501350402832,96,2904,0.6668795943260193,"No constraint","No constraint"
