"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length","model"
0,0.2223075032234192,0.8289473652839661,0.9605262875556946,0.5394737124443054,0.7954232692718506,0.3025137484073639,0.31578946113586426,10.105262756347656,-7.954448699951172,100,56,0.35227835178375244,"7_15","7~15","Prior-model-1"
1,0.2129131704568863,0.8399999737739563,0.7799999713897705,0.3499999940395355,0.5352687239646912,0.1557205319404602,1.0800000429153442,16.530000686645508,-2.407320022583008,99,147,0.3537660837173462,"7_15","7~15","Prior-model-1"
2,0.22071419656276703,0.8383838534355164,0.9898989796638489,0.6161616444587708,0.6878569722175598,0.20937860012054443,0.8787878751754761,13.141413688659668,-6.643322944641113,100,231,0.4336179196834564,"7_15","7~15","Prior-model-1"
3,0.2376125603914261,0.967391312122345,0.97826087474823,0.70652174949646,0.9347140192985535,0.1891937255859375,0.95652174949646,7.76086950302124,-11.714075088500977,100,287,0.42649558186531067,"7_15","7~15","Prior-model-1"
4,0.23801511526107788,0.945652186870575,0.95652174949646,0.554347813129425,0.9419917464256287,0.20005632936954498,0.95652174949646,6.782608509063721,-13.141619682312012,100,343,0.3695846498012543,"7_15","7~15","Prior-model-1"
5,0.23329463601112366,0.868686854839325,0.8989899158477783,0.8989899158477783,0.8565539717674255,0.13219837844371796,1.0606060028076172,9.373737335205078,-10.052433967590332,98.98989868164062,428,0.5233292579650879,"7_15","7~15","Prior-model-1"
6,0.23030878603458405,0.9399999976158142,0.9200000166893005,0.8999999761581421,0.8005378842353821,0.10115265846252441,0.9900000095367432,9.380000114440918,-8.472029685974121,97,517,0.6022120118141174,"7_15","7~15","Prior-model-1"
7,0.23863910138607025,0.9200000166893005,0.8899999856948853,0.8899999856948853,0.7664526104927063,0.1793883889913559,0.9900000095367432,9.869999885559082,-7.167600154876709,98,612,0.6166190505027771,"7_15","7~15","Prior-model-1"
8,0.23049022257328033,0.9300000071525574,0.8799999952316284,0.7900000214576721,0.8173263072967529,0.19464904069900513,0.9800000190734863,8.890000343322754,-9.7531099319458,98,701,0.5737311244010925,"7_15","7~15","Prior-model-1"
9,0.2485533356666565,0.9900000095367432,0.9300000071525574,0.8799999952316284,0.876085102558136,0.21063262224197388,0.9800000190734863,9,-9.538639068603516,99,795,0.6868489980697632,"7_15","7~15","Prior-model-1"
